id,brand,beer_type,beer_style,abv,ibu,brew_company
1,Irish Cream Stout,stout,milk,5.8,25,Southern Tier Brewing Company
2,Stella Artois,lager,pale,5,24,Stella Artois
3,Breakfast Superhighway,ipa,milkshake,6.8,48,Hitchhiker Brewing Company
4,Amplify the Sound,ipa,american,6.5,,Old Thunder Brewing Company
5,Apple,cider,traditional,4.7,,
6,Sweet Baby Banana!,porter,american,6.2,33,DuClaw Brewing Company
7,Hopslam Ale,ipa,imperial,10,65,Bell�s Brewery
8,Kick Step IPA,ipa,Gluten-free,5.5,60,Ghostfish Brewing Company
9,Zombie Dust,pale ale,american,6.5,62,3 Floyds Brewing
10,Traditional Lager,lager,american amber,4.5,12,Yuengling Brewery
11,Miller Lite,lager,american light,4.2,10,Miller Brewing Company
12,Volcano Sauce,sour,smoothie,6,,Aslin Beer Company
13,Brauweisse,wheat,hefeweizen,5.1,13,Ayinger Privatbrauerei
14,Belgian White,wheat,witbier,5.4,9,Blue Moon Brewing Company
15,Weihenstephaner Hefeweissbier,wheat,hefeweizen,5.4,14,Bayerische Staatsbrauerei Weihenstephan
16,Platter�s X EBC Orange Chocolate Blonde Ale,blonde ale,,7.1,17,Ellicottville Brewing Company
17,DDH Cliffside Push,ipa,new england,7.5,,Ever Grain Brewing Company
18,Dark Humor,lager,munich dunkel,5,23,New France Brewing Company
19,I.C. Light,lager,american light,4.2,,Pittsburgh Brewing Company
20,Love Potion No. 412,fruit,,5.7,,Cinderlands Beer Company
21,Death Tripper,ipa,new england,6.7,,Tired Hands Brewing Company
22,Dulachan IPA,ipa,american,5.6,70,Lavery Brewing Company
23,Graffiti Highway IPA,ipa,american,6,,Troegs Independent Brewing
24,Chester Coffee Pot,stout,coffee,5.6,,Rural City Beer Company
25,Monogalator,bock,doppelbock,8.1,,Brew Gentlemen
26,The Cheeseman of Dusseldorf,altbier,traditional,4.8,25,Hop Farm Brewing Company
27,Bitburger Premium Pils,pilsner,german,4.8,23,Bitburger Brauerei
28,Hopland Park Pale Ale,pale ale,american,6.2,48,CoStar Brewing
29,Pocket Wrench,pale ale,new england,4.5,46,Industrial Arts Brewing
30,Guinness Draught,stout,irish dry,4.2,45,Guinness
31,honkers ale,bitter,session/ordinary,4.3,30,Goose Island Beer Company
32,Bottlenectar,pale ale,american,5.5,45,Goose Island Beer Company
33,All Day IPA,ipa,session/ordinary,4.7,42,Founders Brewing Company
34,Big Hop American Ale,pale ale,american,5.8,0,East End Brewing Company
35,Fog Monster � NEIPA,ipa,new england/hazy,6.8,68,Rusty Rail Brewing Company
36,Hazy Little Thing,ipa,new england/hazy,6.7,35,Sierra Nevada Brewing Company
37,Head Hunter,ipa,american,7.5,80,Fat Head�s Brewery
38,IPA,ipa,american,6.2,51,Lagunitas Brewing Company
39,Joose Juicy,ipa,new england/hazy,6,0,EverGrain Brewing Company
40,60 Minute IPA,ipa,american,6,60,Dogfish Head Craft Brewery
41,Venomous Villains,ipa,american,6.9,0,Kings County Brewers Collective
42,Hazedelic Juice Grenade,ipa,new england/hazy,6.4,0,Grist House Craft Brewery
43,Perpetual IPA,ipa,american,7.5,85,Troegs Independent Brewing
44,Hazy Beer Hug,ipa,new england/hazy,6.8,20,Goose Island Beer Company
45,Two Hearted IPA,ipa,american,7,55,Bell�s Brewery
46,Voodoo Ranger Juicy Haze IPA,ipa,new england/hazy,7.5,42,New Belgium Brewing Company
47,Lustra,pale ale,new england/hazy,5.8,45,Dancing Gnome
48,Goose IPA,ipa,american,5.9,55,Goose Island Beer Company
49,Big Hop American Ale,pale ale,american,5.8,0,East End Brewing Company
50,Fog Monster � NEIPA,ipa,new england/hazy,6.8,68,Rusty Rail Brewing Company
51,Head Hunter,ipa,american,7.5,80,Fat Head�s Brewery
52,2xhaze,ipa,imperial/double new england/hazy,8.2,20,Southern Tier Brewing Company
53,Joose Juicy,ipa,new england/hazy,6,0,EverGrain Brewing Company
54,Hazedelic Juice Grenade,ipa,new england/hazy,6.4,0,Grist House Craft Brewery
55,Perpetual IPA,ipa,american,7.5,85,Troegs Independent Brewing
56,Double Broken Heels,ipa,imperial/double new england/hazy,9.2,0,New Trail Brewing Company
57,Lustra,pale ale,new england/hazy,5.8,45,Dancing Gnome
58,Golden Monkey,belgian tripel,,9.5,25,Victor Brewing Company
59,Voodoo Love Child,belgian tripel,,9.5,25,Voodoo Brewing Company
60,Mischievous Brown ALE,brown ale ,english,5.5,0,Helltown Brewing
61,Railbender Ale,scottish ale,,6.8,26,Erie Brewing Company
62,Not Always Present,kolsch,,4.8,0,Dancing Gnome
63,Penn Dark,lager,munich dunkel,5,25,Penn Brewery
64,Station 33 Firehouse Red,red ale,irish,5.5,0,North Country Brewing Company
65,Royal Weisse,wheat,hefeweizen,5.6,11,Sly Fox Brewing Company
66,White Magick of the Sun,wheat,witbier/blanche,7.3,0,Voodoo Brewing Company
67,Hefe Weizen,wheat,hefeweizen,6.2,0,East End Brewing Company
68,Strawberry Wheat Beer,wheat,fruited,4.7,11,Lancaster Brewing Company
69,Sour Monkey,sour,other,9.5,10,Victory Brewing Company
70,Nitro Peaches And Cream,fruit,,7.1,10,Urban Artifact
71,Bumble Berry Honey Blueberry Ale,fruit,,5.3,13,Fat Head�s Brewery
72,Proper Notch New England Style 2X IPA,ipa,imperial/double new england/hazy,8.1,83,Logyard Brewing
73,Picket Bone Dry Hard Apple Cider,cider,traditional/apfelwein,8,0,Arsenal Cider House
74,Pious Monk Dunkel,lager,munich dunkel,5.5,20,The Church Brew Works
75,Penn Pilsner,lager,helles,4.9,18,Sly Fox Brewing Company
76,Vienna Style Lager,lager,vienna,5.2,33,von Trapp Brewing
77,Traditional Lager,lager,american amber/red,4.5,12,Yuengling Brewery
78,I.C. Light,lager,american light,4.2,0,Pittsburgh Brewing Company
79,Vienna Style Lager,lager,vienna,5.2,33,von Trapp Brewing
80,Traditional Lager,lager,american amber/red,4.5,12,Yuengling Brewery
81,Stone Buenaveza Salt & Lime Lager,lager,mexican,4.7,13,Stone Brewing
82,Helles Golden Lager,lager,helles,4.9,18,Sly Fox Brewing Company
83,Penn Pilsner,lager,vienna,5,30,Penn Brewery
84,Pious Monk Dunkel,lager,munich dunkel,5.5,20,The Church Brew Works
